,,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先),連結優先(IFRS優先)
,,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10
,,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率,負債比率
,,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076,FINFSTA'I_A01076
,,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％
,,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース,決算期ベース
,,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0
,,月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M),月次(M)
,,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12
,,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先,有価証券報告書優先
,,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0,Y0
